name,data,latitude,longitude
大洲市立平野小学校,"33.49763732921417, 132.51614",33.49763,132.51614
大洲市立大洲小学校,"33.506671876775414, 132.54245",33.50667,132.54245
大洲市立平小学校,"33.52225212784934, 132.58147",33.52225,132.58147
大洲市立新谷小学校,"33.53911814961441, 132.59830",33.53911,132.59830
大洲市立平野中学校,"33.49679591509128, 132.51687",33.49679,132.51687
