name,data,latitude,longitude
開進スクール大洲校,"33.51671493952961, 132.54497",33.51671,132.54497
ＡＢＣ,"33.51723233506609, 132.54924",33.51723,132.54924
愛真塾大洲教室,"33.51920348477577, 132.54552",33.51920,132.54552
大洲珠算教室,"33.52083318170342, 132.54824",33.52083,132.54824
やまもと学習サポート教室,"33.51996235064206, 132.57122",33.51996,132.57122
