name,data,latitude,longitude
愛媛県立大洲高等学校,"33.50598902377818, 132.53967",33.50598,132.53967
愛媛県立大洲農業高等学校果樹園,"33.512758418445195, 132.54992",33.51275,132.54992
愛媛県立大洲農業高等学校,"33.51769841366845, 132.55002",33.51769,132.55002
大洲農業高等学校 第三農場,"33.52020138405163, 132.55420",33.52020,132.55420
